Age, Workclass, Years of Education, Occupation, Relationship, Race, Sex, Hours Work per Week, Income
35,4,9,5,2,2,0,50,0
20,4,5,7,2,2,0,40,0
46,2,8,8,2,2,0,35,1
43,4,9,14,2,2,0,40,0
46,1,9,1,1,1,1,40,0
39,4,7,8,1,1,0,37,0
34,4,9,4,2,2,1,20,0
35,4,9,8,2,2,1,35,0
30,4,9,1,2,2,0,41,0
25,4,9,7,1,1,0,28,0
44,4,14,4,2,2,0,35,1
35,4,9,1,2,2,1,40,0
41,4,9,6,2,2,0,40,0
43,1,13,1,2,2,0,40,1
32,4,10,1,2,2,1,40,0
50,4,4,3,2,2,0,40,0
20,4,10,1,2,2,1,15,0
29,4,9,1,2,2,1,20,0
38,4,15,10,2,2,0,70,1
20,4,6,6,2,2,0,50,0
41,4,9,12,1,1,1,40,0
27,4,10,4,2,2,1,65,0
37,4,5,3,2,2,0,40,0
62,7,14,10,2,2,1,24,0
31,4,6,8,2,2,0,40,0
49,4,10,1,4,4,1,40,0
33,2,13,10,1,1,1,50,0
31,4,9,3,2,2,0,40,1
19,4,10,8,2,2,1,35,0
44,4,4,7,2,2,0,40,0
31,5,10,4,2,2,0,65,1
62,4,9,5,2,2,1,40,0
65,6,10,4,2,2,0,10,1
17,4,5,8,2,2,0,40,0
60,4,9,14,2,2,0,44,1
31,4,7,3,2,2,0,40,0
29,4,10,8,1,1,1,40,0
53,4,9,7,2,2,0,40,1
44,4,10,12,2,2,0,40,1
43,4,7,12,2,2,0,60,0
40,1,10,3,2,2,0,40,0
18,4,7,12,1,1,1,10,0
47,4,9,3,2,2,1,43,0
38,1,13,10,2,2,0,40,0
37,4,12,8,2,2,1,25,0
40,4,10,12,3,3,1,40,0
57,5,9,10,1,1,0,60,1
43,4,9,8,2,2,1,40,0
32,4,13,10,2,2,0,40,0
64,4,10,12,2,2,0,40,0
18,4,8,12,2,2,1,20,0
40,6,13,4,2,2,0,50,0
23,4,9,7,2,2,0,40,0
45,4,11,1,1,1,1,40,0
45,6,14,10,2,2,1,15,0
27,4,6,8,2,2,0,60,0
23,4,10,6,2,2,0,40,0
58,6,9,5,4,4,0,30,0
35,4,9,13,2,2,1,75,0
47,4,14,10,2,2,0,40,1
33,4,9,4,2,2,0,50,0
27,4,13,10,4,4,0,40,1
46,4,12,7,2,2,0,40,1
24,4,10,3,2,2,0,56,0
40,4,10,3,2,2,0,44,1
44,4,9,8,2,2,1,24,0
31,2,13,11,2,2,0,97,1
37,4,11,1,2,2,0,40,1
23,4,11,4,2,2,1,40,0
30,5,13,12,2,2,0,52,1
31,4,10,8,1,1,0,35,0
32,4,10,4,2,2,0,40,0
27,4,9,14,2,2,0,40,0
35,2,9,1,3,3,0,55,0
27,4,13,4,2,2,0,40,0
30,6,13,12,2,2,0,70,0
33,6,9,5,2,2,0,70,0
34,4,16,10,2,2,0,45,1
29,4,10,3,2,2,0,50,0
26,2,14,10,2,2,1,40,0
39,6,9,3,2,2,0,40,0
37,5,10,4,2,2,0,50,1
51,4,10,4,2,2,1,50,1
40,4,10,3,2,2,0,47,1
53,4,4,3,4,4,0,40,0
58,1,10,13,4,4,0,40,1
29,4,13,13,2,2,0,40,1
33,4,9,7,2,2,0,40,0
57,4,14,4,2,2,0,60,1
69,7,9,11,2,2,0,40,0
20,4,10,1,2,2,1,12,0
56,4,9,12,2,2,1,25,0
49,4,3,3,2,2,0,40,0
34,4,9,7,2,2,0,40,0
70,4,9,3,2,2,0,37,0
44,4,13,4,2,2,1,45,0
37,4,13,10,2,2,0,40,1
58,2,13,10,2,2,0,58,0
42,6,10,10,2,2,1,25,0
41,4,9,12,2,2,0,40,0
28,4,9,1,2,2,1,40,0
47,2,14,10,2,2,0,60,1
24,4,9,7,2,2,1,40,0
58,6,9,8,2,2,0,55,1
18,4,9,1,2,2,1,25,0
50,4,10,4,2,2,0,50,1
69,4,10,1,2,2,1,24,0
84,4,14,10,2,2,0,66,0
47,4,13,4,2,2,0,60,1
19,4,8,6,2,2,0,20,0
24,4,10,10,1,1,0,40,0
53,4,9,7,2,2,0,50,0
58,4,10,12,2,2,0,45,0
22,4,10,6,2,2,0,24,0
36,6,10,4,2,2,0,52,0
34,4,8,1,2,2,1,40,0
43,4,2,10,2,2,1,21,0
37,4,9,6,2,2,0,24,0
43,4,15,13,2,2,0,50,1
42,4,10,13,2,2,1,40,1
21,4,10,8,2,2,0,30,0
49,6,9,12,2,2,0,60,0
35,4,9,8,1,1,0,40,0
49,6,10,3,2,2,1,30,0
28,4,10,8,1,1,0,40,0
51,4,2,3,2,2,0,40,0
19,4,4,8,2,2,0,60,1
56,4,5,8,2,2,0,40,0
20,4,9,8,2,2,0,8,0
22,4,10,1,2,2,1,37,0
33,4,9,7,2,2,0,56,1
22,4,10,3,2,2,0,50,0
68,4,10,9,2,2,1,30,0
56,2,13,4,2,2,1,40,0
69,6,5,1,2,2,0,40,0
41,4,13,13,2,2,0,40,0
33,4,9,7,1,1,1,40,0
18,4,7,12,2,2,1,8,0
17,4,7,8,1,1,0,16,0
31,4,7,6,1,1,0,40,0
50,4,10,13,2,2,0,60,1
62,4,6,6,2,2,1,40,0
41,4,9,1,2,2,1,52,0
20,1,9,8,2,2,1,40,0
23,4,12,12,2,2,0,30,0
18,4,9,8,2,2,0,20,0
42,4,5,3,2,2,0,40,0
23,4,13,10,2,2,0,40,0
43,4,9,1,2,2,1,40,0
47,4,9,12,2,2,0,55,0
53,2,3,8,2,2,0,40,0
28,4,6,6,2,2,0,40,0
28,7,10,11,2,2,0,40,0
44,4,10,10,2,2,0,45,0
58,4,9,7,2,2,0,40,0
26,4,9,7,2,2,1,40,0
36,6,10,5,2,2,0,8,0
27,4,9,8,2,2,1,40,0
39,4,16,4,2,2,0,45,1
25,4,13,4,2,2,0,40,0
17,4,7,8,2,2,1,15,0
39,4,13,4,2,2,0,50,0
52,4,9,7,2,2,0,40,0
24,4,13,12,2,2,1,50,0
26,6,11,5,2,2,0,55,0
32,4,9,6,2,2,0,40,1
49,2,14,11,2,2,0,40,1
40,4,7,5,2,2,0,40,0
52,4,15,4,2,2,0,60,1
33,4,9,1,2,2,0,40,0
19,4,9,7,2,2,0,20,0
37,4,11,10,2,2,0,40,0
21,7,10,13,2,2,1,20,0
33,4,10,1,2,2,0,36,0
28,4,12,10,2,2,1,40,0
48,4,9,3,2,2,0,40,0
43,4,13,13,2,2,0,40,0
32,4,9,7,2,2,0,40,0
28,4,9,8,2,2,0,30,0
47,6,13,10,4,4,0,40,0
37,4,13,1,2,2,0,50,1
26,4,10,12,1,1,0,30,0
55,4,9,8,2,2,0,60,0
40,4,12,12,2,2,1,40,0
31,4,13,4,2,2,0,40,1
39,4,9,8,2,2,0,40,1
54,5,10,12,2,2,0,54,1
38,4,10,12,4,4,0,40,0
53,6,9,5,2,2,0,85,0
27,6,12,10,2,2,1,78,0
42,4,13,4,2,2,0,40,1
62,4,10,1,2,2,1,40,0
47,4,7,1,2,2,0,58,0
26,4,13,4,2,2,1,50,0
59,4,10,8,2,2,0,40,0
42,4,9,10,2,2,1,45,0
25,4,13,10,2,2,0,45,1
58,4,9,12,2,2,0,36,0
30,4,10,12,2,2,1,60,0
21,4,10,3,2,2,1,40,0
61,4,9,11,2,2,0,40,0
33,4,12,6,2,2,0,40,0
51,4,14,13,2,2,0,40,1
70,4,10,4,2,2,1,12,0
29,6,10,3,2,2,0,50,0
46,4,14,10,2,2,1,44,0
35,1,10,4,4,4,1,40,0
31,4,9,3,2,2,0,43,1
37,4,10,4,2,2,0,42,1
43,4,10,12,2,2,0,43,1
23,4,9,12,2,2,0,40,0
41,4,9,3,2,2,0,44,1
42,2,13,10,2,2,1,50,1
26,4,6,1,2,2,1,40,0
45,4,10,4,2,2,0,40,1
25,4,12,12,2,2,0,40,0
38,4,13,7,2,2,0,50,1
28,4,9,4,2,2,1,50,0
68,6,11,10,2,2,0,40,0
42,2,9,3,2,2,0,40,1
35,4,14,12,2,2,0,40,0
36,4,10,1,2,2,1,40,0
33,4,9,3,2,2,0,35,0
22,4,10,1,2,2,1,30,0
45,2,13,11,2,2,0,50,1
24,4,10,8,2,2,1,40,0
57,4,2,8,2,2,0,35,0
36,2,9,10,2,2,0,40,1
41,4,9,1,2,2,1,40,0
26,6,10,10,2,2,1,35,0
25,6,10,5,2,2,1,50,0
53,7,10,5,2,2,0,50,0
28,2,12,10,2,2,0,40,0
30,2,14,10,2,2,1,40,0
38,6,7,3,2,2,0,40,0
37,2,10,11,2,2,0,48,0
30,4,14,10,2,2,0,38,0
41,4,9,7,1,1,1,40,0
31,4,10,3,2,2,0,80,0
36,4,9,3,2,2,0,55,0
59,6,9,4,2,2,0,60,0
33,6,9,3,2,2,0,35,0
29,4,9,12,2,2,0,55,1
49,7,10,7,2,2,0,40,1
50,1,6,3,2,2,0,56,0
33,4,13,4,2,2,0,45,1
28,4,4,6,2,2,0,40,0
24,4,10,13,2,2,1,16,0
32,6,10,3,2,2,0,50,0
47,1,9,14,1,1,0,40,1
24,4,10,4,2,2,0,40,0
37,2,10,13,2,2,1,36,1
51,4,13,12,2,2,0,40,1
52,4,9,14,2,2,0,50,0
22,4,10,1,2,2,1,40,0
28,4,12,8,2,2,0,40,0
47,6,10,3,2,2,0,40,0
43,4,9,3,2,2,0,40,0
25,4,9,4,2,2,0,45,0
43,4,10,14,2,2,0,60,1
25,4,13,4,2,2,1,20,0
59,4,14,10,2,2,0,60,0
29,4,12,10,2,2,1,35,0
30,4,5,7,2,2,1,40,0
24,4,10,7,2,2,1,40,0
38,4,13,8,2,2,0,40,0
37,6,9,4,2,2,0,60,1
26,4,1,7,2,2,0,40,0
30,4,9,8,2,2,1,40,0
73,2,14,10,2,2,0,10,1
30,4,9,7,1,1,0,40,0
33,4,9,8,2,2,0,40,0
46,4,10,14,2,2,0,58,0
18,4,7,8,2,2,0,40,0
35,4,13,10,2,2,1,8,1
22,4,9,1,2,2,1,40,0
50,5,9,12,1,1,0,60,0
39,5,13,4,2,2,0,40,1
22,4,10,12,2,2,0,40,0
33,4,9,1,1,1,1,40,0
31,4,9,6,4,4,1,40,0
29,4,13,1,2,2,0,40,0
38,6,10,7,2,2,0,45,1
24,4,13,12,2,2,1,35,0
29,2,9,11,2,2,1,40,0
49,1,14,1,2,2,0,40,1
33,4,4,7,2,2,0,40,0
28,4,9,7,2,2,0,48,0
22,4,13,1,2,2,1,60,0
37,4,9,7,2,2,0,40,0
30,4,9,3,2,2,0,50,0
49,4,4,3,2,2,0,40,0
29,4,9,4,2,2,0,40,0
25,4,9,4,2,2,1,40,0
36,4,9,1,2,2,1,40,0
36,7,16,10,2,2,0,45,0
21,4,9,8,2,2,0,22,0
18,4,10,8,2,2,1,30,0
30,2,11,11,2,2,0,40,0
44,4,10,1,1,1,1,40,0
40,4,10,14,2,2,0,50,0
43,4,9,4,2,2,0,44,0
45,4,13,4,2,2,0,50,1
29,4,10,12,4,4,1,26,0
40,4,10,1,2,2,1,40,0
43,4,10,8,2,2,0,48,0
20,4,10,8,2,2,1,20,0
32,7,13,13,2,2,0,20,0
19,4,10,8,2,2,1,16,0
21,4,9,7,2,2,0,40,0
23,4,11,6,2,2,0,40,0
24,4,7,8,1,1,1,40,0
52,4,11,8,2,2,0,32,0
19,4,10,8,2,2,0,35,0
54,4,10,12,2,2,0,45,1
50,4,9,7,2,2,1,48,0
29,4,10,7,2,2,0,40,0
17,4,6,13,2,2,0,10,0
47,4,9,8,2,2,1,37,0
46,4,13,10,1,1,1,32,0
30,4,10,6,2,2,0,44,0
58,4,10,8,2,2,1,30,0
48,4,13,10,1,1,1,40,0
23,4,10,11,2,2,0,40,0
23,4,11,1,2,2,1,36,0
45,4,9,3,2,2,0,40,0
20,4,10,12,1,1,0,20,0
26,4,4,7,2,2,0,48,0
50,2,13,10,2,2,1,40,1
49,4,9,12,2,2,0,48,1
26,4,10,8,2,2,0,40,0
47,4,15,1,2,2,0,40,0
31,4,8,12,2,2,0,50,0
23,4,6,8,2,2,0,40,0
35,4,9,3,2,2,0,40,0
46,4,10,3,2,2,0,50,1
28,6,7,3,2,2,0,40,0
58,4,10,4,2,2,0,45,1
21,4,9,1,2,2,1,40,0
50,6,6,12,2,2,1,50,0
31,4,13,10,2,2,1,40,0
31,6,13,1,2,2,1,20,0
35,6,9,3,2,2,0,40,1
33,4,16,10,2,2,0,60,1
34,4,14,10,2,2,0,55,1
37,4,9,6,2,2,0,45,1
48,4,14,10,2,2,0,40,1
34,1,13,4,4,4,0,40,0
24,4,10,4,2,2,0,40,0
55,4,9,9,2,2,1,40,0
50,4,9,13,2,2,0,40,1
40,4,13,12,2,2,0,60,1
33,4,13,6,2,2,0,30,0
51,1,10,3,2,2,0,40,0
30,4,10,7,2,2,0,40,0
41,4,9,7,2,2,0,40,0
47,2,11,4,2,2,0,40,1
27,4,4,5,2,2,0,50,0
37,4,13,10,2,2,1,32,1
40,4,11,3,2,2,0,40,0
36,4,9,7,2,2,0,40,0
37,4,9,7,1,1,0,40,0
38,4,15,10,2,2,0,35,1
40,6,10,3,2,2,0,50,0
35,4,13,4,2,2,1,40,0
47,6,9,7,2,2,1,20,1
33,4,14,10,2,2,0,45,1
45,4,10,1,2,2,1,40,0
35,6,9,12,1,1,1,38,0
32,4,7,1,2,2,0,45,0
23,4,10,8,1,1,0,50,0
19,4,9,8,2,2,1,15,0
20,4,9,6,1,1,0,35,0
44,5,13,12,2,2,0,30,0
41,7,9,1,2,2,0,40,0
19,4,10,1,2,2,1,40,0
48,4,9,8,2,2,1,35,0
45,4,10,12,2,2,0,65,1
40,4,4,8,4,4,0,42,0
34,4,9,3,2,2,0,55,1
20,4,10,12,2,2,1,40,0
33,4,10,1,2,2,1,40,0
30,4,9,1,2,2,1,20,0
23,4,10,6,2,2,0,32,0
34,4,6,8,2,2,1,38,0
48,7,10,3,2,2,0,40,1
42,4,10,3,1,1,0,40,1
22,4,9,1,4,4,0,40,0
60,6,9,3,2,2,0,42,1
42,4,13,4,2,2,0,55,1
45,4,13,4,2,2,1,55,0
47,4,9,8,2,2,1,32,0
29,4,14,4,2,2,1,40,1
34,4,13,12,2,2,0,38,0
34,4,13,10,2,2,1,40,1
39,1,9,1,2,2,0,40,0
29,4,10,10,2,2,1,24,0
42,5,10,12,2,2,0,60,0
48,4,7,8,1,1,1,35,0
53,4,13,4,1,1,0,40,1
51,4,10,1,2,2,1,45,0
44,6,13,5,2,2,0,90,0
46,5,11,4,2,2,0,60,1
51,4,16,3,2,2,1,60,1
32,4,10,3,2,2,1,40,0
24,4,10,8,2,2,0,45,0
33,4,11,10,1,1,1,26,0
47,6,9,3,2,2,0,90,0
64,6,14,10,2,2,0,50,0
62,4,13,4,2,2,0,50,1
52,4,9,4,2,2,0,40,1
39,4,9,12,2,2,1,40,0
42,4,9,10,2,2,0,48,0
38,1,13,12,2,2,0,42,1
55,4,4,14,2,2,0,50,0
42,4,12,10,2,2,1,24,0
30,4,12,4,2,2,1,50,1
32,4,5,3,2,2,0,40,0
50,1,7,12,1,1,1,40,0
27,4,9,7,4,4,0,40,0
47,4,9,4,2,2,0,60,0
33,4,5,7,2,2,0,35,0
48,6,10,1,2,2,0,40,0
23,4,4,8,2,2,0,35,0
31,1,13,4,2,2,0,40,1
26,4,10,7,1,1,0,40,0
61,6,9,12,4,4,0,63,0
50,4,13,12,1,1,0,40,0
49,4,11,10,2,2,0,40,1
19,4,9,8,4,4,0,24,0
18,4,7,6,2,2,0,15,0
44,6,12,8,2,2,1,99,0
54,4,11,12,2,2,0,50,0
35,7,9,11,2,2,0,40,1
27,7,14,10,4,4,0,20,0
50,5,9,5,2,2,0,50,0
43,7,9,3,2,2,0,40,0
28,4,10,1,2,2,0,40,0
47,4,9,4,2,2,0,40,0
21,4,1,5,2,2,0,50,0
30,4,15,10,2,2,1,45,0
19,4,9,3,2,2,0,45,0
40,4,10,8,2,2,0,40,0
55,4,14,12,2,2,0,50,1
31,4,11,7,2,2,0,43,0
30,4,11,4,2,2,0,40,0
51,1,13,10,3,3,1,43,0
34,4,9,14,2,2,1,40,0
59,4,14,4,2,2,0,45,1
50,4,9,4,2,2,1,38,0
29,4,9,7,2,2,0,40,0
17,7,6,5,2,2,0,40,0
24,4,9,8,2,2,1,30,0
39,4,14,10,2,2,1,18,1
32,4,10,6,1,1,0,40,0
34,4,9,7,2,2,1,45,0
44,6,9,10,2,2,0,40,1
37,2,10,1,2,2,1,40,0
39,4,14,4,2,2,1,65,1
32,5,15,10,2,2,0,40,1
23,4,10,8,2,2,1,28,0
45,1,10,1,2,2,0,42,0
30,4,7,6,2,2,0,40,0
20,4,8,8,2,2,1,10,0
41,4,9,3,2,2,0,4,0
21,4,9,12,2,2,1,30,0
48,4,4,8,4,4,0,30,0
31,4,9,10,2,2,0,45,1
34,4,11,6,1,1,0,40,0
25,4,9,8,1,1,0,40,0
41,6,13,3,2,2,0,35,0
35,6,15,10,2,2,0,50,1
42,4,13,4,2,2,1,40,0
34,6,9,14,2,2,0,75,1
44,4,6,7,2,2,0,60,0
32,4,13,4,2,2,0,40,1
25,4,10,12,4,4,0,40,0
23,4,7,14,2,2,0,50,0
36,4,15,10,2,2,0,40,1
53,6,13,12,2,2,0,60,1
27,4,16,10,2,2,0,52,0
27,4,13,1,2,2,1,65,0
57,4,9,4,2,2,1,45,0
17,4,7,12,2,2,1,20,0
59,2,9,1,2,2,1,38,0
34,4,9,8,2,2,1,40,0
30,4,6,14,2,2,0,55,0
31,7,12,1,1,1,1,45,0
23,4,10,12,2,2,0,30,0
19,4,9,14,2,2,0,40,0
20,6,11,5,2,2,0,40,0
52,6,9,12,2,2,0,40,0
39,2,13,10,2,2,0,50,1
27,4,9,8,2,2,1,50,0
19,4,10,12,2,2,1,35,0
38,2,13,10,2,2,1,15,0
19,4,9,6,2,2,0,16,0
34,4,13,10,2,2,1,40,1
41,4,9,14,2,2,0,45,0
23,4,9,7,2,2,1,40,0
24,4,13,1,2,2,1,40,0
22,4,6,14,3,3,0,84,0
45,4,15,10,2,2,0,60,1
45,4,9,4,2,2,0,60,1
48,4,13,4,4,4,0,40,1
42,4,13,12,2,2,0,60,0
35,6,10,12,2,2,0,50,0
32,4,9,8,3,3,1,40,0
51,2,9,4,2,2,1,32,0
59,4,10,4,2,2,0,40,1
31,2,9,14,2,2,0,40,0
27,2,13,13,2,2,0,50,0
29,4,13,6,1,1,0,80,1
57,4,12,1,2,2,1,35,0
40,4,9,8,2,2,0,40,0
31,4,9,7,2,2,0,40,0
23,4,4,7,2,2,0,40,0
42,4,9,1,2,2,1,35,0
60,4,9,12,2,2,0,40,0
53,2,14,4,2,2,1,50,1
27,4,9,6,2,2,0,40,0
31,4,9,14,2,2,0,45,0
29,7,13,3,2,2,0,40,0
22,4,13,5,2,2,0,40,0
42,4,13,10,2,2,1,38,1
63,5,15,10,2,2,0,50,1
28,4,9,12,2,2,0,40,0
79,4,10,1,2,2,0,20,0
39,4,9,3,2,2,0,40,1
29,4,8,8,2,2,0,40,0
60,4,4,8,2,2,0,40,0
58,4,8,8,2,2,1,24,0
20,4,12,8,2,2,1,18,0
44,4,9,14,2,2,0,65,1
47,4,9,14,2,2,0,48,0
59,4,9,11,2,2,0,24,1
37,4,14,4,2,2,0,65,0
21,4,9,7,2,2,0,40,0
68,4,11,4,2,2,1,40,0
43,4,10,1,2,2,0,40,0
23,4,9,3,2,2,1,33,0
40,2,14,1,2,2,1,35,0
45,6,10,12,2,2,1,35,0
22,4,10,13,2,2,0,40,0
38,4,13,10,2,2,0,50,1
24,4,10,12,2,2,0,49,0
23,4,9,12,2,2,1,40,0
39,1,10,1,2,2,0,45,1
26,4,10,3,2,2,0,40,0
24,4,9,6,2,2,0,40,0
22,4,10,1,2,2,0,25,0
36,4,13,10,2,2,0,55,0
20,4,10,9,2,2,1,20,0
18,4,7,8,1,1,0,8,0
38,4,13,4,2,2,0,40,1
43,5,13,5,2,2,0,35,0
56,4,9,4,1,1,0,40,0
42,4,14,4,2,2,0,40,1
35,4,13,4,2,2,0,50,1
31,4,10,1,2,2,1,45,0
73,4,2,14,2,2,0,20,0
32,4,10,4,2,2,1,42,0
37,4,14,4,2,2,0,45,1
66,4,9,6,2,2,0,10,0
22,4,9,8,2,2,1,35,0
51,4,11,12,2,2,0,40,0
31,4,9,8,2,2,0,35,0
65,4,9,1,2,2,1,59,0
39,4,9,3,1,1,1,45,0
48,4,10,1,2,2,1,37,0
20,4,10,8,2,2,1,40,0
48,4,13,12,2,2,0,50,1
29,1,15,10,2,2,0,80,0
36,6,16,10,2,2,0,30,1
35,5,13,4,2,2,0,45,1
31,4,10,14,2,2,0,40,1
48,7,9,11,2,2,0,40,0
36,4,11,13,2,2,0,45,0
40,6,9,5,2,2,0,50,0
57,4,9,10,2,2,0,15,0
26,2,13,10,2,2,1,35,0
37,7,9,8,2,2,1,40,0
65,4,16,4,2,2,0,40,1
26,6,6,10,2,2,1,32,0
42,4,10,13,2,2,0,40,0
47,4,14,4,2,2,0,40,1
62,4,4,3,2,2,0,40,0
27,4,11,4,2,2,0,50,0
76,6,10,12,2,2,0,8,0
29,4,13,1,2,2,1,40,0
29,4,8,14,2,2,0,40,1
32,4,6,7,2,2,0,40,0
22,5,10,3,2,2,0,40,0
30,1,9,1,1,1,1,50,0
43,2,10,1,2,2,1,40,0
23,4,13,8,2,2,0,20,0
44,1,15,10,2,2,0,40,1
41,4,13,8,2,2,0,40,0
49,7,14,10,1,1,1,40,1
30,4,9,14,2,2,0,45,1
23,4,10,6,2,2,0,35,0
39,4,9,1,2,2,1,40,0
32,4,13,12,2,2,0,60,1
50,4,10,3,2,2,0,35,1
19,4,10,1,2,2,1,40,0
35,4,13,12,2,2,0,52,1
23,4,9,3,2,2,0,40,0
25,4,10,3,2,2,0,40,0
40,4,9,12,2,2,1,40,0
30,4,13,4,1,1,0,42,1
52,4,10,3,2,2,0,40,1
49,4,10,7,1,1,0,60,0
24,4,13,1,2,2,1,40,0
46,4,13,4,2,2,0,40,1
39,4,13,12,2,2,0,50,1
45,6,13,4,2,2,0,50,1
62,2,13,1,2,2,1,38,0
43,4,13,10,2,2,0,50,1
45,4,10,7,2,2,1,40,0
62,6,9,12,2,2,0,40,0
48,4,3,6,2,2,0,40,0
56,4,9,8,1,1,1,40,0
28,4,9,5,2,2,1,35,0
23,4,9,3,1,1,0,40,0
43,4,9,8,2,2,1,35,0
26,4,13,3,2,2,0,40,1
36,4,9,12,2,2,0,50,1
55,2,16,10,2,2,1,60,0
48,7,13,4,2,2,1,50,0
43,4,3,7,4,4,1,72,0
38,4,11,4,2,2,0,45,1
18,4,9,12,2,2,0,30,0
56,6,9,4,2,2,0,70,0
39,6,14,10,2,2,0,40,0
46,4,3,6,2,2,0,50,0
36,4,7,14,3,3,0,65,0
42,6,9,3,2,2,0,40,0
50,4,9,14,2,2,0,50,1
17,4,7,6,2,2,0,20,0
57,4,4,7,1,1,1,40,0
73,4,9,8,2,2,1,12,0
50,1,10,1,2,2,0,40,0
35,4,10,14,2,2,0,45,0
27,4,10,7,2,2,0,45,0
27,4,10,3,2,2,0,40,0
23,6,9,3,2,2,0,40,0
25,4,9,1,2,2,1,40,0
51,4,13,4,2,2,0,40,1
26,4,6,1,2,2,1,40,0
47,4,10,1,2,2,0,45,0
40,4,9,8,1,1,0,40,0
58,4,5,8,2,2,1,40,0
25,4,10,12,2,2,1,40,0
29,4,9,12,2,2,1,18,0
36,4,7,14,2,2,0,43,0
46,4,9,4,2,2,1,60,0
69,4,2,9,1,1,1,4,0
69,4,9,1,2,2,1,40,0
28,4,9,8,1,1,1,40,0
20,4,9,1,2,2,0,48,0
54,7,9,1,1,1,1,35,0
25,4,10,14,2,2,0,40,0
64,2,9,6,2,2,0,40,0
17,4,9,12,2,2,1,20,0
53,1,9,1,2,2,0,40,0
50,4,5,14,2,2,0,50,0
57,4,9,4,2,2,1,38,0
51,4,10,14,2,2,0,40,0
47,4,10,3,2,2,0,40,0
25,4,9,14,2,2,0,52,0
50,7,15,4,2,2,0,52,1
20,4,9,1,2,2,1,30,0
43,7,15,10,2,2,0,70,1
46,4,13,10,2,2,1,40,0
54,4,9,1,2,2,1,38,0
53,4,10,4,3,3,1,15,0
21,4,9,3,2,2,0,30,0
58,4,10,8,2,2,0,40,0
30,4,13,12,2,2,0,55,1
61,4,9,1,1,1,1,40,0
56,7,10,1,2,2,1,35,0
59,4,9,8,2,2,1,40,0
72,4,9,6,2,2,0,20,0
33,4,9,1,2,2,0,40,0
46,4,9,1,2,2,1,40,1
46,2,10,11,2,2,0,38,1
48,4,9,10,1,1,1,28,0
33,4,9,4,2,2,0,40,0
21,4,10,6,2,2,1,40,0
27,4,9,1,2,2,1,45,0
31,4,9,14,2,2,0,40,0
28,4,13,7,2,2,0,40,0
45,2,10,1,2,2,1,38,0
51,4,9,7,2,2,0,40,1
46,7,9,8,1,1,1,40,0
25,4,10,12,2,2,0,25,0
61,4,10,1,2,2,0,40,1
17,4,7,12,2,2,1,30,0
26,4,13,3,2,2,0,40,0
35,4,6,3,2,2,0,60,0
33,6,7,4,2,2,0,70,0
37,4,8,12,4,4,1,33,0
39,2,9,1,2,2,1,35,0
42,4,9,8,2,2,1,30,0
35,4,13,4,2,2,0,47,1
45,4,9,13,2,2,1,50,1
47,5,13,12,2,2,0,40,1
64,4,7,3,2,2,0,48,0
39,4,15,4,2,2,1,47,1
34,4,9,10,2,2,0,40,0
62,4,13,10,2,2,0,40,1
53,4,10,10,2,2,0,40,1
31,4,13,4,2,2,0,40,0
26,4,9,12,2,2,0,40,0
56,5,4,3,2,2,0,50,1
43,4,10,8,2,2,1,40,0
33,4,10,12,1,1,0,35,0
45,6,10,3,2,2,0,40,1
46,4,10,12,2,2,0,55,0
26,4,11,6,2,2,0,80,0
24,4,9,8,2,2,1,40,0
43,4,13,5,2,2,0,50,1
40,4,11,7,2,2,0,40,0
61,4,4,8,2,2,0,35,0
34,1,10,1,1,1,1,72,0
85,4,9,12,2,2,0,35,0
41,4,9,1,2,2,1,40,0
31,7,12,1,2,2,1,35,0
22,4,10,12,2,2,1,30,0
60,4,9,8,1,1,1,40,0
29,4,12,10,2,2,1,36,0
35,7,13,4,4,4,1,45,0
24,4,9,12,2,2,0,30,0
45,2,14,10,1,1,0,40,0
21,2,8,8,1,1,0,20,0
30,4,12,14,2,2,1,37,1
50,5,10,4,2,2,0,99,1
41,6,9,4,2,2,0,40,1
21,4,9,12,2,2,1,33,0
45,4,9,3,2,2,0,45,0
34,4,13,4,2,2,0,40,1
28,4,9,6,2,2,0,40,0
19,4,9,8,2,2,0,40,0
26,4,13,10,2,2,0,50,1
48,4,13,14,2,2,0,45,1
69,4,13,10,2,2,0,40,1
41,4,10,1,2,2,1,40,0
43,4,13,1,2,2,1,40,0
28,4,9,3,2,2,0,40,0
65,2,10,1,2,2,1,28,0
31,4,13,4,2,2,0,38,0
28,4,13,1,2,2,1,40,0
51,4,13,10,2,2,0,40,1
45,4,10,3,2,2,1,80,0
43,4,9,1,1,1,0,38,0
31,4,12,12,2,2,0,60,0
31,4,10,3,2,2,0,55,1
45,4,10,3,4,4,0,40,0
20,4,13,12,1,1,1,30,0
25,4,13,13,2,2,0,40,0
36,4,9,6,2,2,1,30,0
31,4,13,12,2,2,0,50,0
56,4,10,3,2,2,0,45,0
26,4,13,12,2,2,0,18,0
47,6,10,4,2,2,1,65,0
40,5,9,4,2,2,0,50,0
32,4,9,4,2,2,1,48,0
34,7,14,10,1,1,1,24,0
37,4,9,4,2,2,0,55,0
38,4,9,3,2,2,0,45,0
19,4,11,8,4,4,0,16,0
49,4,5,6,2,2,1,40,0
26,4,12,10,2,2,1,40,0
82,4,4,6,2,2,0,2,0
40,4,9,3,2,2,0,40,0
